date;name;review;favorite;model
10/19/2009;pduggs;I bought it new. First foreign car I have ever owned (grew up in Detroit) and it is by far the best car. Looks great. It is very quick and handles nice. No problems with car and it now has 48,000. I have been told by a mechanic friend the key to German cars is you must maintain them very well. ;Looks, power, and the many safety features.;volkswagen_passat
10/15/2009;Kory;"I have to say that this is the worst car that I have ever owned. I traded my 1992 Saturn SL1 for this car. My Saturn was definitely a ""no frills"" car that was perfect for my needs, which at the time was reliable transportation to and from school and work. My husband wanted a larger sedan. Our VW ran great for the first 15000 miles, then it was in the shop constantly. The car stalled frequently, lost power steering, had all sorts of electrical problems. A recurring crack in the fuel line was the last straw and we traded it for a Saturn Vue. I know others who have had many electrical problems with these cars. They are pretty but not reliable. I will never buy a VW again. ";Looks nice, but not reliable.;volkswagen_passat
09/21/2009;Nepsis; First, I had to write just because several people mentioned interior squeaks in dash. YES, I had the same problem after a few miles and there is a simple fix. I purchased a can of silicone spray and using the spray tube simply lube all the seams around ctr console and wipe off excess. Can said safe for plastics and I had NO harmful effect to dash. Do this 2-3 X's a week apart and be sure to get all the seems, even where black sidewall next to your legs meets ctr console. No more dash noise and silicone smell will fade shortly. On a side note I got 58,000 on original tires but did have cupping/noise also. MPG awesome w/35- 36MPG on my commute common. Otherwise A++++ mechanically. ;Interior finish, Overall Look & nice handling. to computer shutdown at 135 MPH and handles very well at high speed. (Typical of Austrian/German Autobahn designed cars, eh?) Have had it First car I have bought that EXCEEDED mpg rating on window. Great balance of performance and MPG for a commuter. ;volkswagen_passat
08/25/2009;passatvw;I owned Volkswagen 2006 jetta it was shaking so I traded it for 2007 passat it driving me crazy I had new tires and balance done but car shakes stearing wheel its not shaking but whole car does, I think for new car it wasnt supposed to shake, it feel like hitting car jumping as soon as it gets to 40 mph, ,can anyone tell me if it has same problem with volkwagen, overall car starts fast like hell, and when I put cd in I wait for ever to start, it doesnt start in 20 min or more, ,and dash board sounds so annoying, like, it fallin apart, let me know if this is normal for Volkswagen since both jetta and passat shake while driving, jetta had good cd player,;dashboard,,and i love blue lights,very cold ac,,;volkswagen_passat
07/11/2009;creeky;"07 Passat sedan recently purchased (20K), looks great, handles well, but is the creekiest car I have ever owned. The dealer tried twice to fix the unacceptable noises in and around the dash/glove box/console to no avail.Is this typical for the 2007 passat? The service department said I was ""very particular"" even though they acknowledged that there are ""minor squeaks, which, by the way, are noticeable on even the smoothest of roads.";;volkswagen_passat
07/11/2009;jwilliamsoh;Long story short. I used to own a company and drove MB as a rule. Now things are very different so I still wanted German and went with a VW. The top part of the engine has been rebuilt twice as the timing chain broke twice. Now I was a LITTLE late on a couple oil changes; like 2k miles, not THAT big of a deal (for other cars). Now with 78k miles the car is starting to tick again and it is under 3 years old. Now I have driven a lot of miles but drive (slow) due to some points I drive the speed limit. Take off NORMAL, stop normal, no driving fast or racing. Also because funds are tight I need to get the most out of the gas. I average (for the past 8k miles) 23.7 mpg.;volkswagen_passat
07/08/2009;REB;Best car ever owned and I have owned many!!;Perfect ride has 27k and still runs like new. As long as you take car of your car it will take care of you! ;volkswagen_passat
07/06/2009;MarkusK;I purchased my Passat in 01/08 as a 'Certified Pre-Owned' with 15k miles and have driven it 18k since then. After the test drive, I was hooked by the performance and feel of the 2.0T engine. Also, the build quality appeared very solid. For road trips with the family, we often leave the other car (SUV) at home and enjoy the ride in the Passat. Gas mileage can exceed 30 mpg highway, even when fully loaded. However, a concern and disappointment is the lack of reliability. AC failed at 22k. A temperature sensor almost left me stranded at 26k. At 32k, an ignition coil failure resulted in the need for a tow truck. The warranty and my dealership have kept me and my wallet 'sane' (for now).;I love the power delivery of the 2.0T engine. It works well with the six speed auto trans. This drivetrain is far ahead of many competitors and combines performance and frugality. Together with the sophisticated suspension and well sized breaks, the Passat is an attractive package for a family car.;volkswagen_passat
06/05/2009;Wniece;Squeaks, rattles and all sorts of problems! The rubber seals in the doors squeak, the dashs sounds like it is coming apart and numerous mechanical issues! Worse car I have ever owned. And, the dealer can not find the Moroney Act sticker for the car, which is required for every new or untitled car sold in the US. Keep getting the brush off. They also sold it as new, only to find out it had 4,530 miles on it already! Does anyone know who to contact to take legal action against the dealership and VW...clearly they have broken the law and it is punishable up to a $250,000 fine. I guess one positive is that is looks really nice when it is cleaned up!;The way it looks and the wheels. Stereo is good too.;volkswagen_passat
05/30/2009;Gene;This is our third Passat (first a 1993) and it is the best. The car feels like a much bigger and more expense automobile. No problems and only expense is the scheduled maintenance. I alternate between Plus and High Test gasoline and runs great. I was most impressed by the highway MPG. I always get between 31 and 32 MPG with one trip turning in 35. I would recommend changing the oil more often than VW recommends. 10,000 miles seems a little long.;ride, looks and gas mileage;volkswagen_passat
04/30/2007;Steven;The one I bought is NOT like the one I test drove. Mine drives like a boat, or more accurately, my grandmother's Caddie. This does NOT drive like previous Passats (I've owned three). I don't know what the rationale is, but it is NOT the car you've heard of;" it's redesigned by VERY old folks. Do yourself a favor: get the BMW 328i for the same price. If you ""must"" have a VW, get the sports package. The next four years are going to be the most miserable driving years of my life. I plan to drive my wife's older car as much as possible.The upgraded stereo is great. Really.";volkswagen_passat
04/30/2007;HARDCORE VWer;I have had 11+ Volkswagens and loved them all. The outside is very well done on the new Passat and the interior is very large and elegant compared to the older Passats. The car is surprisingly nimble being so large (bigger than a 3 series). The handling is great on my base Passat and the fuel economy isn't bad (it does have a big gas tank though). ;Turbo engine, interior trim, and exterior design.;volkswagen_passat
04/27/2007;Pedro;I have owned this vehicle for 2 months, and have enjoyed every minute of it. My 2003 Passat was a great car, but this one is even greater. It feels sporty, yet roomy, and offer great gas mileage. ;Navigation system, 18'' wheels, and electromagnetic steering. ;volkswagen_passat
04/24/2007;golfool81;I have owned this car for a year. It is great there is a practical side with a sports car drive. It is fun to drive. Great car.;XM radio and shift ability. Handling, too.;volkswagen_passat
04/17/2007;Missy;I bought this car a few weeks ago,and love it. It is so fast, the take off speed is impressive. I love the package 1 upgrade, it had everything I wanted. I love this car, me and my mom both have one now.;Heated seats, speed, all the new gadgets.;volkswagen_passat
04/13/2007;peabody;This wagon justs keeps getting better and better every day. Mileage is up to 32 mpg on highway and getting better after 5K oil change. Get the Luxury 2 package to truly enjoy all the features. Wife loves the roominess, safety and overall luxuary feel. The 2.0 Turbo engine is amazing. I'm making up reasons just to go for a drive. Dollar for dollar, the Passat out classes, out performs, and gets better mpg than anything out there. This is a sleeper that needs to be considered before spending more on Audi/BMW/Volvo, or settling for less.;Power liftgate (puppies love it). Sirius radio - I got a lifetime subscription. Steering wheel controls. Auto everything!;volkswagen_passat
04/06/2007;Neil;Just bought the 2007 Passat Wolfsburg edition and we love it. I take my time when purchasing vehicles and the price/quality of the Passat Wolfsburg just plain beat out the competition! German engineering made the difference. Plus, only 6000 Wolfsburg are going to be made which is nice. Compare this vehicle's options with the Japanese versions and they don't compare for the price. A great family sedan with nice features - if you can find one left, get it!;2.0T engine is very quick. Wolfsburg added features are nice. Trunk space for golfer. Rear passenger room. Heated seats and satellite radio.;volkswagen_passat
03/28/2007;James;After spending almost $40,000 on this Passat, I am very angry with how many trim rattles this has. I previously owned a 2002 Passat motion, this was far better in the interior quality department. It really does go to show that build quality is still an issue for VW. I will be spending my generous budget elsewhere in 2 years. ;The bi-xeon adaptive lights are cool. I love the V6, but hate that no one offers after market engine upgrades.;volkswagen_passat
03/26/2007;Timone;I have had my new Passat for almost a month now and I love it. This is my second VW, and it's so good to be back. It's a definite driver's car. It was not the fastest car I considered (G35x, A4, & 328XI) but this car was a lot more car for the money. The one that came closest was the smaller Audi A4 2.0T. If you can get over the lack of Quattro and lack of the 4 rings on the grill - buy a VW instead! Very German, handles great, roomier than the others, and the 2.0T engine is real tourquey and fun. Love the 6spd DSG transmission too. With the Sport mode, I'd pick it over a manual transmission any day, when factoring in practicality.;DSG transmission, 10 air bags. Build quality, fit and finish. The doors sound like they should be on a tank when you close them.;volkswagen_passat
03/09/2007;tk;This is a well designed car with balance between safety, roominess, performance, practicality and gas mileage. It has good acceleration except there is a lag at <5 mph. It also has loads of storage. It's much better than driving a minivan.;The excellent steering, good gas mileage, and liftgate.;volkswagen_passat
03/02/2007;Mongo;My 2003 Passat was a great vehicle in every way. Its speed, handling, comfort, quality, reliability...every one was top notch. That's not to say that it was the fastest or most comfortable car ever, just that the car met or exceeded my desires in each of the categories. There was absolutely nothing about the 2003 that I disliked, but when I first sat in the 2007 model I knew it was only a matter of time. I'm extremely tall, and the Passats have been good tall-person vehicles for a long time. The 2007 model offers me even more legroom with no loss in headroom, and more thigh support from the driver's seat. That's a great combination for me. So far, the car's been bulletproof.;The Tornado Red exterior. Seriously...I usually buy the least awful color for a car, but this time I actually got a color I wanted. More importantly, though, are roominess, comfort, ergonomics, performance (especially on the highway), and (finally!) decent storage layout throughout the car.;volkswagen_passat
03/02/2007;Puzman;As an update to my previous review, we now have close to 10,000 miles on our '07 Passat wagon. Its gas mileage has decreased due to the installation of a bike rack on the roof. We're now averaging about 25 mpg, with mixed highway/urban/rural driving, which is still pretty good compared to all of the SUVs out there. I LOVE the interior of this car; its ergonomics are excellent and the heated base seats are awesome. There is no need for leather, IMHO. Power is abundant in the 2.0T engine. Floor it in S or Tiptronic modes and 60 comes VERY quickly. There is some torque steer, however. The handling is the one area where I could see an improvement- there is significant understeer, although the car feels composed at all speeds. My Passat has had no reliability issues.The driver's seat with power lumbar and heaters. Tiptronic shifter (though a 6-speed manual option in the wagon would be nice). The good base sound system. This vehicle provides a good balance of ride and handling. It has an incredible powertrain. ;volkswagen_passat
02/25/2007;gmh;I have only had this car for over a week but so far I have nothing bad to say about it - I look forward to driving it! This is my third VW after owning two Jettas. My wife and I considered other cars but could not find another manufacturer that offers everything you get with VW. I couldn't be more pleased with our decision and can't believe we even considered another brand. We also own a 2003 Audi Avant. The Passat is very similar to our Audi wagon but includes some nice upgrades and features. The 2.0T engine is phenomenal and I can feel the responsiveness over our 1.8T. Keep in mind our Audi has Quattro which has a completely different driving experience.;The engine and exterior styling of this car cannot be beat. In my opinion there is not a better looking car in this price range on the road today. The understated luxury speaks volumes over the muscular cheesy American options or the hyper articulated Japanese cars.;volkswagen_passat
02/19/2007;TX3Ni;I owned a 2000 Passat and absolutely hated it! The warranty only covered 24,000 miles, and the engine sludged. The service at the dealership was lousy. My wife decide she wanted a new car which is why I'm here again. VW Passat still has the same awful mess created in 2000, just a slicker version. Its reliability was terrible. I lost a lot of time taking it to dealer and getting a run around delay from VW USA. It looks nice but if you want a reliable CAR don't try a VW.;My wife though it looked cute.;volkswagen_passat
02/07/2007;TySawyer;I traded in my '04 Touareg for a loaded '07 Passat. Mostly because I drive so many miles a week it made more practical sense. I can honestly thank this car with my renewed love of driving! It is a driver's dream. Don't believe me? Go test drive one. As far as reliability, it's too early to say. But, on every other aspect I am SOLD. ;"I have the Sport #2 Package. It makes your Passat more luxurious and elegant than a BMW or Mercedes costing 10 to 15 thousand more. Oh, and the rear arm rest has a dogie door leading to the trunk so you can watch ""Rover"" in his pet carrier while you roll down the road.";volkswagen_passat
02/06/2007;Hambonevw3;I have owned VWs for the past 10 years and I must say VW out did itself with the 2007 Passat. Although the interior is not as flashy as the Toyota Camry it is simply and functional and yet classy. The 2.0T engine with the automatic transmission gives you more than enough power when you need it. The electronic steering gives you stability and no steering jar even when driving over the roughest roads. It has a smooth ride and minimal wind noise. Its rear seat room is overwhelming when compared to previous year Passats and its 60/40 rear folding seats are a plus. The price ($27,300) compared to other competitors like Camry and Accord was in my opinion and value when comparing all of the features, like the sunroof and heated seats.;Everything about this car is simply awesome. My favorite highlights include 6CD in dash stereo with satellite radio, electronic steering, and the power of the 2.0T engine.;volkswagen_passat
02/01/2007;Jasavage;The new '07 Passat is much better than I expected. It has a nice interior, excellent handling, some of the new features (push button start), and it is very roomy. VW has done a great job with this car. I owned '98 and '04 Passats and this one blows them away. I highly recommend it. ;The 6 CD changer in the dash is great.;volkswagen_passat
01/29/2007;big guy cool cars;I love the car, I enjoy driving it, and I like the way it looks, but it has some problems. I had the entire a/c replaced twice and down here in South Florida it just extremely uncomfortable. Luckily it was all covered. the other problem was that the radio knobs started peeling, but once again it was completely covered. Also, some turbo lag that is noticeable, but I still like the performance. After all that, I still smile when I press that accelerator and turn that extremely responsive steering wheel. This is my second Volkswagen and it definitely won't be my last. It is safe, good looking, has great performance, and most importantly it is very reliable in every situation.;The design, performance, room (I'm 6 foot 4, so I really need room), and the quality of the car.;volkswagen_passat
01/23/2007;Pat;This is the first time I have ever purchased a VW. The ride is very smooth. The 2.0L Turbo has much more power than you would think. I don't think the 0 - 60 time is far off from my 2004 Maxima SE. The 6 speed automatic is smooth shifting and the Tiptronic transmission works better than most of the manual over automatic shifters out there. The fit and finish of the car is as good as anything out there. I got the leather package and xenon adaptive headlights. It is still early, but this is a really well built car.;;volkswagen_passat
01/12/2007;Craig;I recently bought this vehicle after years of driving a mid-size SUV. I couldn't be happier with the performance and fuel economy. There's plenty of room for cargo once you put the back seats down. The instrumentation is great. The stereo is great, I just wish I would have the option of XM instead of Sirius. I am hoping for a long and beautiful relationship with my new Passat.;The good fuel economy, stereo, and instruments.;volkswagen_passat
01/04/2007;Paul Zelenkov;This Passat is nothing like the old model's build or design. This is the best car I have ever owned. The engine is very strong and the six speed tranny shifts smart and gets the power to the ground. The near 4,000 lb. weight and 4Motion make it a very good snow car in Denver on stock all season tires. It is a much better value than a BMW or an Audi. The controls are great. Subarus may be a better value, but the build and handling are superior in the German made VW vs. the Indiana made Subaru. With a light foot I have been getting 19 -20 mpg in town and 27 -28 mpg highway. ;The strong brakes, stability control, easy controls, acceleration, handling, quiet, powerful, heated seats, strong heat in the rear seats, and the automatic rear hatch;volkswagen_passat
12/20/2006;charles edmundson;The electronics in this vehicle stink! The sensor wipers only work when it is not raining. The steering wheel touch controls only work sometimes. The air bags light comes on for weeks at a time, then just goes off. The low tire pressure light comes on, even if you completely empty the tires, fill them up correctly, and even overfill them. Also, the folding back seat is poorly designed. My other car is a Volvo xc70. The guys in Germany should buy a Volvo and study it. I got the Passat, because I thought it would be weird to have two of the same car. What a mistake. I should have gotten two Volvos. The price was about the same. I can't wait for the lease to end.;The car is fast and handles great. I wish it came without all the bells and whistles. ;volkswagen_passat
12/14/2006;TS;This is the first time I have bought a VW. I like the driving and handling of the new Passat 2.0T. The interior of the new Passat is laid out well and with the red/blue backlights the interior looks so nice at night. I am very happy with the gas mileage. With 200 hp, I average 24-27 mpg in mix driving (mostly city). The trip computer is awesome. If you're out for shopping for a compact to midsize SUV, you should look at the new Passat Wagon. It has a smooth drive, looks nice, has ample luggage space, and will save you money on gas.;The good gas mileage, nice interior and exterior style, trip compute, driving control, handling, acceleration, how it has lots of storage space, and the large trunk.;volkswagen_passat
12/02/2006;Les;The Passat 3.6 4Motion is an excellent car to drive. It has stylish looks. It's a great jump forward over the previous model. A job well done. ;;volkswagen_passat
12/02/2006;LSLBoiler;If you're looking to replace an SUV, this is the car for you. It gets great gas mileage (32-33 hwy/24-26 city), has lots of usable and easily-accessible cargo room, and has a very comfortable ride.;The Dynaudio stereo system, driver info system, and great engine performance.;volkswagen_passat
11/26/2006;Kimberly Willey;I bought this car thinking it would be an affordable reliable luxury sedan. The interior and exterior styling is something you would see in more expensive cars, for less. But what we have encountered is endless problems with the electronic systems and poor customer service from the manufacturers and dealers. The car has been in the shop three times for repairs in less then four months with so far nine days and counting loss of use. With this last incident, the car had to actually be towed to the dealership for service. If you want a reliable quality vehicle-keep shopping! ;Interior and exterior styling, amount of horsepower in the V6.;volkswagen_passat
11/20/2006;Imn2vws;I absolutely love my Passat. I have had no issues at all and enjoy every time I get to go for a ride. The 2.0T Turbo engine is very powerful for such a fuel efficient engine. 200hp and 32mpg. I would do it again in a heart beat....;"The engine, radio, Sport Edition seats, sport suspension, and Sport Edition 18"" wheels.";volkswagen_passat
11/16/2006;Jim;I have owned 45 cars in 45 years and over the last 10 years have driven only Mercedes, BMW's and Acuras. This is my first Volkswagen and I can't say that I am disappointed, it has been an adjustment to come from a BMW 330CI convertible to the Passat 3.6. I can say however, that I do enjoy the 280 HP engine and the Dynaudio sound system. The car is extremely quick off the line and easy to handle at high speeds. I have had to readjust to front wheel drive which is my only real complaint, the styling is beautiful and has a great European look. I do wish I had not made such a hasty decision and done a little more research before buying. I did get the entire premium/sport/navigation package.;"The Dynaudio sound, powerful engine, sport seats, navigation,18"" wheels, styling of the premium/sport package, great interior and trunk space, and safety. ";volkswagen_passat
11/15/2006;MN;I recently purchased a 2007 Passat Wagon 2.0T. This car replaced a 1999 Passat Wagon and is a significant upgrade over the previous models. The 2.0T engine has alleviated the lag that existed in the 1.8T that was standard in the 1999 version. In addition, the car has more leg room and storage which were lacking in the '99 model. This car is fun to drive and comfortable too when equipped with the luxury package. I also looked at the Volvo V70 but after test driving both, I decided the Passat was a better all around purchase. I hope the 2007 version will be as reliable as the 1999 we drove over 100,000 miles with only minor problems. ;The appearance, handling, and interior.;volkswagen_passat
11/14/2006;CDE;I am a first time VW buyer and so far I could not be any happier with my purchase. I got a 2006 pk1 for $22,300 and WOW this car is off the chain with performance. I have owned Honda's and Toyotas and they do not come close with anything vs. the Passat. ;The power, handling, and price.;volkswagen_passat
11/14/2006;Valleybull;Though I love the performance and comfort of my 2007 Passat 2.0T Wagon with 6-speed, Luxury, Leather, and Bi- xenons, I have had it for four months and I cannot wait to get rid of it. The build quality is the worst that I could imagine, from broken welds in the roof to creaks, squeaks, and rattles throughout the dash and headliner. I had read that VW's quality was a little shaky, but I was not prepared for this level of poor quality. I think that I would have been better off looking for a used 1984 Hyundai Pony, at least might expectations would have been in line with the results and the price.;The comfortable heated leather seats, adaptive bi-xenon headlights, nice stereo, and automatic dual zone climate control.;volkswagen_passat
11/11/2006;atr;"I have had the car for just over a week and loving every minute of it. I opted for the sport package and can't imagine it any other way. It has been quite a head-turner with lowered ride height and included 18"" rims. It handles like a dream with lot's of power. So far great it has been getting great gas mileage, 26 - 29 mpg. The manual transmission was a must for me and I couldn't be happier with it. It is a smooth shifter through all 6 gears and accelerates with ease.";The sport seats! They have a nice leather finish and are comfortable, with 12-way memory adjustments. I also love that the passenger's rear view mirror automatically adjusts to show the curb when the car is put in reverse. ;volkswagen_passat
11/09/2006;NY Passat;This vehicle has superb acceleration for a 4-cylinder. The engine feels much more powerful than the rated 200hp. The electric motor driven power steering allows for one finger steering at parking speeds and German style road feel at high speeds. Compared to a Volvo V70 2.5T you get most of the features, similar size, better performance and a $10,000 lower price.;The acceleration, performance, interior quality, lack of wind noise, and large versatile storage area.;volkswagen_passat
11/05/2006;Nuce;I was so excited to get the newly re-designed 2007 Passat Wagon! What a mistake! I have had this vehicle in the shop THREE times since I purchased it in March 2006. The Engine Malfunction lights keeps coming on and the dealership cannot find the problem, except to say that that there is an evaporator leak that they cannot fix it. The service manager also stated that they had several Passats that were doing this. Please don't think that the dealership will back you up on these problems;" THEY WON""T...I wrote a letter to VW and they were unwilling to help me too. Volkswagen will NOT stand behind their vehicle. The brakes squeak, too. Do not buy this vehicle.";volkswagen_passat
11/04/2006;Puzman;I must say, I am BLOWN AWAY by the new Passat. The gas mileage on our brand new vehicle is impressive;" over 28 mpg on my first commute (rural roads, interstate, city streets), and it should only get better. The power from the 2.0T motor is phenomenal, and shifts from the automatic are imperceptible. I thought I'd be using the Tiptronic a lot, but I can see myself just leaving it in ""D""- it's that good. I can't see why anyone would need the 3.6 unless they're hauling a trailer. The cabin is quiet and VERY comfortable - the leatherette is practically indistinguishable from the real thing. The Passat 2.0T is just the ticket for families that want performance, safety, and room without the thirst of an SUV. ";volkswagen_passat
11/03/2006;Mark B;"I have the 2007 Passat 2.0T with the sport suspension, sport seats and 18"" wheels. I absolutely love this car. The handling and ride is superb for a car with OE sport suspension. The interior has enough room for 5 big adults and the trunk is huge. I consistently average 33 mpg on the highway and around 30 mpg in the city.";"The 18"" wheels that come with the sport package, sport seats, and the Dynaudio radio system (make sure you get this).";volkswagen_passat
11/02/2006;Steven Myers;VW's '07 2.0T Passat Station wagon is a hoot. Powerful and agile, it longs for the Autobahn and no speed limit. It looks (and drives) like a much more expensive car. It comes loaded with standard features that might be money-making options and possesses a number of very avantgarde features, this Passat is worth a hard look/purchase. Even the low-end version comes replete with the safety, efficiency, comfort, and engineering features of a luxury vehicle. On the Interstate in MD I got 37 MPG on 87 fuel, with the air conditioning running. It is fast off the blocks with its Tiptronic transmission (with three modes: auto, sport, standard). I'm glad I bought mine - I'd buy a second Passat if I had a larger garage!;The interior design is comfortable and spacious. The powerful turbocharged 2 liter engine gets you out of trouble, yet sips fuel. This car is well assembled, there is not a squeak in the car. The attention to detail is pure Teutonic. This car is very safe, it has airbags everywhere, it has the best brakes I've ever had in a car, safety redundancies. The ride is great!;volkswagen_passat
10/30/2006;Stee;This is our second Passat Wagon, out first was a 2001 GLS 5-speed. We had many of the same complaints as have been voiced here about the options available on the 2.0T, but we got a call from the dealership telling us we could get all the options we wanted with the new configuration! So we did. We got bi xenon headlights, memory electric seats, Homelink, etc. We have had it for almost three months and 4,000 miles and we love it. My suggestion to other Passat lovers, tell the dealer what you want! This is a great car. Basically, we have got a Audi A4 in VW clothing (or maybe a BMW 5er)! Oh yeah, we are getting about 34 MPG highway and 25 in town..;We love the comfort features, like auto headlights/wipers, adaptive Bi xenon headlights, 12 Way Seats w/memory, Dynaudio, and the CD changer;volkswagen_passat
10/28/2006;Passat Fan;One cannot help but enjoy stepping into this car and feel its comfort and great handling. The design both interior and exterior is second to none, yet it is an affordable and economic vehicle. It is quite roomy and taking luggage with me is no longer a problem. I am also fascinated by all its features and one I particularly like is Auto hold. I like to think of this car this way, when the engineers designed it, they designed it for me. It gives me sheer driving pleasure. Hats off to Volkswagen! ;Auto hold, the new style ignition key, electronic parking brake, FSI turbo engine, lots of room, and lots of storage including the umbrella compartment.;volkswagen_passat
10/27/2006;eduright;"Well, I have test driven about 6 manuals and automatics. It is tricky to shift the manual, perhaps with several weeks practice it will get better/easier? I am not real happy with the clutch action. The ride is OK at lower speeds in town, but it's too noisy and a bit hard/rough at highway speeds on rough and bumpy pavement. It has good acceleration. The steering lacks fluidity. This car is not lithe, it handles OK for a biggish car. It has nice workmanship, looks, and an easy to use stereo with fair sound (but it's covered by road noise too easily). There was a good review of the Passat in Motor Trend's latest new car mag, which is out now. ""Excessive"" road/tire noise that covers stereo etc. is not good! This is a better car than most in its class though. ";The looks, acceleration, and roominess. It is good that VW and Audi, like Toyota, is working on making less toxic car interiors. I can tell it has less of that toxic and dangerous new car smell. It gets fairly good gas mileage. I believe that 27-28 mpg is possible in mixed driving.;volkswagen_passat
10/25/2006;new vw;I purchased a new VW Passat 3.6 4Motion Wagon about a month ago. It is a really good looking vehicle and a blast to drive. It has lots of power, a smooth delivery, is very comfortable, and its gas mileage is very reasonable for such a powerful vehicle. The brakes are excellent and I really like the turning Xenon lights, which point in the direction the car is turning at intermediate speeds. The interior is of the highest quality, luxurious, well fitting, and ergonomic. The Dynaudio stereo system provides excellent sound. The space in the rear seat is good, even for adults. I am delighted to have chosen this vehicle and enjoy driving it every day.;Lots of power, excellent brakes, very comfortable seats, use the seat memory feature when parking in a valet garage, lots of features one would expect from more upscale vehicles, plenty of space, and very good handling.;volkswagen_passat
10/07/2006;Michael Farrell;I just completed a 600 mi. round trip to Crested Butte from Albuquerque in the new family wagon, including interstates, mountain passes, 2 lane roads, muddy dirt roads and even a few inches of snow. The '07 Passat Wagon was an all around pleasure for either driver or passenger. The ride is very comfortable, handling excellent with plenty of power (for me) on acceleration and the highways and hills. Excellent gas mileage as well;" nearly 33 mpg highway. I opted for package #2, 17"" wheels and Dynaudio. Wow -- the Dynaudio is well worth the $$$! After 6 months of ownership I have neglible complaints about the vehicle. A little higher sticker, but a fine step up from our '05 Passat Sedan. ";volkswagen_passat
09/30/2006;Joylin;When driving the 2007 Passat, you feel like you are driving a BMW, Audi or Mercedes without a huge debt. I love the inside. this car has a lot of power for a 2 liter engine and it is very good on gas. It has a lot of details, specially inside. I have never had any problem with it at all. It is an excellent choice for a long term car.:-);The interior design and excellent reliability.;volkswagen_passat
09/27/2006;Justin;I replaced my 1999 Honda Civic EX with this Passat. It has a beautiful blue finish. This car hauls compared to my Civic. I know VW has had reliability issues in the past and sludge problems with certain engines. This model is made in Germany and not in Mexico or Brazil so I am more confident that this car is made to last. We will see, so far this vehicle is a dream. I love driving in it!;The paint, the auto hold feature, electronic parking brake, 2.0 Turbo engine, 6-speed manual transmission, and sunroof. All around this car kicks butt!;volkswagen_passat
09/17/2006;ilmnc;All my life I have owned American made cars. Then came time for a new car and we decided to go with a Passat for more room. The car can fit two full size children car seats and a booster in it easily and it is good on gas. I have never had so much fun driving a car before this one. Not even the new Ford Mustang was this much fun. I now find excuses to drive the Passat. It handles like a dream and is very responsive to my style of driving. It has a smooth and quite ride and an outstanding sound system. The standard safety features with the addition of the rear side airbags add a sense of security. You feel totally protected from whatever could go wrong during your drive. I love this car.;The sunroof, stereo, control display on the instrument panel, adjustable settings for the heated seats, how all five seats have 3-point seatbelts, the new adjustable arm-rest (unlike the one in the 2006), and the standard safety features. ;volkswagen_passat
08/30/2006;ewolfers;After owning a 2004 Passat Wagon I was surprised to find some of the downgrades in the updated version. The dashboard materials screem General Motors-like, not-quasi luxury Euro car. The door pulls are hard plastic instead of kind of rubbery like before. The front seats are flat as pancakes offering no thigh support, so much for that five hour road trip. There's also no lateral support in the front seats. The seats and the long straight dash remind me more of a Buick than a VW. The new dash is very far away and high up making forward visibility poor.;"They did fix the HVAC by putting in knobs and not changing the fan speed automatically with the ""AUTO"" button in the off possition. This is a decently fun car to drive.";volkswagen_passat
08/29/2006;Alexander;"The first thing that impresed me was the engine - it is small but quite powerful. One just has to push the accelerator pedal down to get most out of it. The acceleration is especially impressive with the gear in the sport mode - even from a zero start. I love the exterior design. Tthe same goes for the interior, with some reservation for the front seat ergonomics - they are comfortable but could be a bit more accomodating. To add a ""fly to the ointment"" - I already had to get the sensor switch in the passenger seat safety belt buckle replaced. The dealership experience has been very good so far. ";The engine, brakes, and cruise control.;volkswagen_passat
08/14/2006;Robert;I was very pleased with the Passat at first. That is until I found a small dent upon delivery, it broke down due to a loose ground strap, the Dynaudio stereo has a problem with losing the lower bass, a constant morris-code rattle at the driver' side pillar, the hesitive fuel peddle response, and of course the poor service from every dealer I've been to. They never seem to be able to fix anything right the first time. I'm going to sell this waste of money the first chance I get. That is unless VW and their sorry excuse for mechanics can fix these tivial issues. ;The good leg room and how quiet it is when it breaks down.;volkswagen_passat
